Level 5	Level 4	Level 3	Level 2	Level 1	Level 5	Level 4	Level 3	Level 2	Level 1	
103	SuperiorCoronaRadiataRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight	SuperiorCoronaRadiataRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight
104	PosteriorCoronaRadiataRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight	PosteriorCoronaRadiataRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight
105	CingulumRight	cingulumRight	limbicRight	HemisphereWMRight	WMRight	CingulumRight	cingulumRight	limbicRight	HemisphereWMRight	WMRight
106	CingulumHippocampalRight	cingulumRight	limbicRight	HemisphereWMRight	WMRight	CingulumHippocampalRight	cingulumRight	limbicRight	HemisphereWMRight	WMRight
107	FornixStriaTerminalisRight	limbicRight	limbicRight	HemisphereWMRight	WMRight	FornixStriaTerminalisRight	limbicRight	limbicRight	HemisphereWMRight	WMRight
108	SuperiorLongitudinalFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	SuperiorLongitudinalFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
109	SuperiorFronto-occipitalFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	SuperiorFronto-occipitalFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
110	InferiorFronto-occipitalFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	InferiorFronto-occipitalFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
111	SagittalStratumRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	SagittalStratumRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
112	ExternalCapsuleRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	ExternalCapsuleRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
113	UncinateFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	UncinateFasciculusRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
114	PontineCrossingTractRight	corticofula-cerebellarRight	CerebellarWMRight	CerebellarWMRight	WMRight	PontineCrossingTractRight	corticofula-cerebellarRight	CerebellarWMRight	CerebellarWMRight	WMRight
115	MiddleCerebellarPeduncleRight	corticofula-cerebellarRight	CerebellarWMRight	CerebellarWMRight	WMRight	MiddleCerebellarPeduncleRight	corticofula-cerebellarRight	CerebellarWMRight	CerebellarWMRight	WMRight
116	FornixRight	limbicRight	limbicRight	HemisphereWMRight	WMRight	FornixRight	limbicRight	limbicRight	HemisphereWMRight	WMRight
117	GenuCorpusCallosumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight	GenuCorpusCallosumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight
118	BodyCorpusCallosumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight	BodyCorpusCallosumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight
119	SpleniumCorpusCallosumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight	SpleniumCorpusCallosumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight
120	RetrolenticularInternalCapsuleRight	InternalCapsuleRight	ProjectionRight	HemisphereWMRight	WMRight	RetrolenticularInternalCapsuleRight	InternalCapsuleRight	ProjectionRight	HemisphereWMRight	WMRight
121	RedNc_R	midbrain_R	midbrain_R	midbrain	Brainstem	RedNc_R	midbrain_R	midbrain_R	midbrain	Brainstem
122	Snigra_R	midbrain_R	midbrain_R	midbrain	Brainstem	Snigra_R	midbrain_R	midbrain_R	midbrain	Brainstem
123	TapatumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight	TapatumRight	CommissureRight	CommissureRight	HemisphereWMRight	WMRight
124	Caud_R	Striatum_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R	Caud_R	Striatum_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R
125	Put_R	Striatum_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R	Put_R	Striatum_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R
126	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	CerebralNucli_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	CerebralNucli_R
127	GP_R	GP_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R	GP_R	GP_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R
128	Midbrain_R	midbrain_R	midbrain_R	midbrain	Brainstem	Midbrain_R	midbrain_R	midbrain_R	midbrain	Brainstem
129	ReticularformationRight	ReticularformationRight	ReticularformationRight	ReticularformationRight	Brainstem	ReticularformationRight	ReticularformationRight	ReticularformationRight	ReticularformationRight	Brainstem
130	Medulla_R	Medulla_R	Medulla_R	Brainstem_R	Brainstem	Medulla_R	Medulla_R	Medulla_R	Brainstem_R	Brainstem
131	NucAccumbens_L	Striatum_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L	NucAccumbens_L	Striatum_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L
132	NucAccumbens_R	Striatum_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R	NucAccumbens_R	Striatum_R	BasalGang_R	CerebralNucli_R	CerebralNucli_R
133	HypoThalamus_A_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
134	HypoThalamus_A_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
135	OpticTractLeft	OpticTractLeft	OpticTractLeft	CranialLeft	CranialLeft	OpticTractLeft	OpticTractLeft	OpticTractLeft	CranialLeft	CranialLeft
136	OpticTractRigh	OpticTractRight	OpticTractRight	CranialRight	CranialRight	OpticTractRigh	OpticTractRight	OpticTractRight	CranialRight	CranialRight
137	HypoThalamus_B_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
138	HypoThalamus_B_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
139	HypoThalamus_C_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
140	HypoThalamus_C_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
141	HypoThalamus_D_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
142	HypoThalamus_D_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
143	HypoThalamus_E_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
144	HypoThalamus_E_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
